state_fips,county_fips,race,sex,population
All,All,All,All,1651963307
All,All,All,Male,817176145
All,All,All,Female,834787162
All,All,White,All,985634484
All,All,Black or African American,All,207753418
All,All,Asian,All,97462162
All,All,Native Hawaiian or Other Pacific Islander,All,3075260
All,All,Hispanic,All,307973883
All,All,White,Male,488427674
All,All,White,Female,497206810
All,All,Black or African American,Male,99691152
All,All,Black or African American,Female,108062266
All,All,Asian,Male,46782254
All,All,Asian,Female,50679908
All,All,Native Hawaiian or Other Pacific Islander,Male,1554237
All,All,Native Hawaiian or Other Pacific Islander,Female,1521023
All,All,Hispanic,Male,155934078
All,All,Hispanic,Female,152039805
01,All,All,All,24955097
02,All,All,All,3670915
04,All,All,All,36260088
05,All,All,All,15121100
06,All,All,All,196549059
08,All,All,All,28891729
09,All,All,All,17952037
10,All,All,All,4958970
11,All,All,All,3423862
12,All,All,All,108409476
13,All,All,All,53578142
15,All,All,All,7177110
16,All,All,All,9233683
17,All,All,All,63446783
18,All,All,All,33864859
19,All,All,All,15898273
20,All,All,All,14638374
21,All,All,All,22462962
22,All,All,All,23191738
23,All,All,All,6812028
24,All,All,All,30609582
25,All,All,All,34747996
26,All,All,All,50113275
27,All,All,All,28387322
28,All,All,All,14808890
29,All,All,All,30768239
30,All,All,All,5448110
31,All,All,All,9752202
32,All,All,All,15561318
33,All,All,All,6877170
34,All,All,All,45584337
35,All,All,All,10541799
36,All,All,All,98650168
37,All,All,All,52607045
38,All,All,All,3860499
39,All,All,All,58695316
40,All,All,All,19880101
41,All,All,All,21140887
42,All,All,All,64586497
44,All,All,All,5404560
45,All,All,All,25857152
46,All,All,All,4460300
47,All,All,All,34553814
48,All,All,All,146432268
49,All,All,All,16362234
50,All,All,All,3185777
51,All,All,All,43045017
53,All,All,All,38391379
54,All,All,All,8953318
55,All,All,All,29302811
56,All,All,All,2897639
01,All,All,Male,12110713
02,All,All,Male,1925773
04,All,All,Male,18091131
05,All,All,Male,7455582
06,All,All,Male,98157757
08,All,All,Male,14620660
09,All,All,Male,8788893
10,All,All,Male,2405130
11,All,All,Male,1630974
12,All,All,Male,53207259
13,All,All,Male,26132497
15,All,All,Male,3609873
16,All,All,Male,4642426
17,All,All,Male,31320645
18,All,All,Male,16776710
19,All,All,Male,7952663
20,All,All,Male,7330397
21,All,All,Male,11118679
22,All,All,Male,11345578
23,All,All,Male,3351339
24,All,All,Male,14880254
25,All,All,Male,16956407
26,All,All,Male,24806702
27,All,All,Male,14210226
28,All,All,Male,7194279
29,All,All,Male,15169288
30,All,All,Male,2756624
31,All,All,Male,4893408
32,All,All,Male,7837527
33,All,All,Male,3425931
34,All,All,Male,22393799
35,All,All,Male,5239353
36,All,All,Male,48131003
37,All,All,Male,25706926
38,All,All,Male,1982071
39,All,All,Male,28912712
40,All,All,Male,9890704
41,All,All,Male,10529972
42,All,All,Male,31796326
44,All,All,Male,2644422
