state_fips,county_fips,race,sex,population
All,All,All,All,331514410
All,All,All,Male,164528934
All,All,All,Female,166985476
All,All,Non-Hispanic White,All,197707991
All,All,Non-Hispanic Black or African American,All,41738817
All,All,Non-Hispanic Asian,All,19578544
All,All,Non-Hispanic Native Hawaiian or Other Pacific Islander,All,616974
All,All,Hispanic,All,61837225
All,All,Non-Hispanic White,Male,98319909
All,All,Non-Hispanic White,Female,99388082
All,All,Non-Hispanic Black or African American,Male,20085090
All,All,Non-Hispanic Black or African American,Female,21653727
All,All,Non-Hispanic Asian,Male,9432702
All,All,Non-Hispanic Asian,Female,10145842
All,All,Non-Hispanic Native Hawaiian or Other Pacific Islander,Male,312590
All,All,Non-Hispanic Native Hawaiian or Other Pacific Islander,Female,304384
All,All,Hispanic,Male,31400484
All,All,Hispanic,Female,30436741
01,All,All,All,5031362
02,All,All,All,732923
04,All,All,All,7179943
05,All,All,All,3014195
06,All,All,All,39501653
08,All,All,All,5784865
10,All,All,All,992114
11,All,All,All,670868
12,All,All,All,21589602
13,All,All,All,10729828
15,All,All,All,1451043
16,All,All,All,1849202
17,All,All,All,12786580
18,All,All,All,6788799
19,All,All,All,3190571
20,All,All,All,2937919
21,All,All,All,4507445
22,All,All,All,4651664
23,All,All,All,1363557
24,All,All,All,6173205
25,All,All,All,6995729
26,All,All,All,10069577
27,All,All,All,5709852
28,All,All,All,2958141
29,All,All,All,6153998
30,All,All,All,1087075
31,All,All,All,1962642
32,All,All,All,3115648
33,All,All,All,1378587
34,All,All,All,9271689
35,All,All,All,2118390
36,All,All,All,20108296
37,All,All,All,10449445
38,All,All,All,779518
39,All,All,All,11797517
40,All,All,All,3964912
41,All,All,All,4244795
42,All,All,All,12994440
44,All,All,All,1096345
45,All,All,All,5131848
46,All,All,All,887799
47,All,All,All,6925619
48,All,All,All,29232474
49,All,All,All,3283785
50,All,All,All,642893
51,All,All,All,8636471
53,All,All,All,7724031
54,All,All,All,1791420
55,All,All,All,5896271
56,All,All,All,577605
09,All,All,All,3600260
01,All,All,Male,2449590
02,All,All,Male,386040
04,All,All,Male,3594486
05,All,All,Male,1490799
06,All,All,Male,19799447
08,All,All,Male,2936954
10,All,All,Male,482493
11,All,All,Male,321771
12,All,All,Male,10625347
13,All,All,Male,5249937
15,All,All,Male,732920
16,All,All,Male,930853
17,All,All,Male,6333131
18,All,All,Male,3372844
19,All,All,Male,1600447
20,All,All,Male,1476582
21,All,All,Male,2238971
22,All,All,Male,2281442
23,All,All,Male,673195
24,All,All,Male,3009763
25,All,All,Male,3427273
26,All,All,Male,5001920
27,All,All,Male,2867676
28,All,All,Male,1440009
29,All,All,Male,3043441
30,All,All,Male,552040
31,All,All,Male,987989
32,All,All,Male,1574685
33,All,All,Male,688751
34,All,All,Male,4570582
35,All,All,Male,1055947
36,All,All,Male,9843602
37,All,All,Male,5125789
38,All,All,Male,401396
39,All,All,Male,5830393
40,All,All,Male,1979556
41,All,All,Male,2121622
42,All,All,Male,6417198
44,All,All,Male,538335
45,All,All,Male,2503280
46,All,All,Male,451615
47,All,All,Male,3405756
48,All,All,Male,14631520
49,All,All,Male,1666441
50,All,All,Male,320316
51,All,All,Male,4278289
53,All,All,Male,3899271
54,All,All,Male,895288
55,All,All,Male,2958022
56,All,All,Male,296434
09,All,All,Male,1767486
01,All,All,Female,2581772
02,All,All,Female,346883
04,All,All,Female,3585457
05,All,All,Female,1523396
06,All,All,Female,19702206
08,All,All,Female,2847911
10,All,All,Female,509621
11,All,All,Female,349097
12,All,All,Female,10964255
13,All,All,Female,5479891
15,All,All,Female,718123
16,All,All,Female,918349
17,All,All,Female,6453449
18,All,All,Female,3415955
19,All,All,Female,1590124
20,All,All,Female,1461337
21,All,All,Female,2268474
22,All,All,Female,2370222
23,All,All,Female,690362
24,All,All,Female,3163442
25,All,All,Female,3568456
26,All,All,Female,5067657
27,All,All,Female,2842176
28,All,All,Female,1518132
29,All,All,Female,3110557
30,All,All,Female,535035
31,All,All,Female,974653
32,All,All,Female,1540963
33,All,All,Female,689836
34,All,All,Female,4701107
35,All,All,Female,1062443
36,All,All,Female,10264694
37,All,All,Female,5323656
38,All,All,Female,378122
39,All,All,Female,5967124
40,All,All,Female,1985356
41,All,All,Female,2123173
42,All,All,Female,6577242
44,All,All,Female,558010
45,All,All,Female,2628568
46,All,All,Female,436184
47,All,All,Female,3519863
48,All,All,Female,14600954
49,All,All,Female,1617344
50,All,All,Female,322577
51,All,All,Female,4358182
53,All,All,Female,3824760
54,All,All,Female,896132
55,All,All,Female,2938249
56,All,All,Female,281171
09,All,All,Female,1832774
01,All,Non-Hispanic White,All,3273852
02,All,Non-Hispanic White,All,434992
04,All,Non-Hispanic White,All,3856524
05,All,Non-Hispanic White,All,2156011
06,All,Non-Hispanic White,All,14175127
08,All,Non-Hispanic White,All,3895788
10,All,Non-Hispanic White,All,604609
11,All,Non-Hispanic White,All,248476
12,All,Non-Hispanic White,All,11420948
13,All,Non-Hispanic White,All,5515614
15,All,Non-Hispanic White,All,308823
16,All,Non-Hispanic White,All,1504804
17,All,Non-Hispanic White,All,7694437
18,All,Non-Hispanic White,All,5289282
19,All,Non-Hispanic White,All,2697670
20,All,Non-Hispanic White,All,2200196
21,All,Non-Hispanic White,All,3778655
22,All,Non-Hispanic White,All,2704568
23,All,Non-Hispanic White,All,1264670
24,All,Non-Hispanic White,All,3037929
25,All,Non-Hispanic White,All,4940467
26,All,Non-Hispanic White,All,7487385
27,All,Non-Hispanic White,All,4483331
28,All,Non-Hispanic White,All,1663432
29,All,Non-Hispanic White,All,4848480
30,All,Non-Hispanic White,All,931437
31,All,Non-Hispanic White,All,1525375
32,All,Non-Hispanic White,All,1477758
33,All,Non-Hispanic White,All,1232603
34,All,Non-Hispanic White,All,4997664
35,All,Non-Hispanic White,All,769341
36,All,Non-Hispanic White,All,10965615
37,All,Non-Hispanic White,All,6506628
38,All,Non-Hispanic White,All,651544
